B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 2
B12, Trade, 849.725, 97, B12, S05, 1
B12, Trade, 857.875, 100, B12, S02, 1
B13, 100
B13, Trade, 295.150, 98, B13, S08, 1
B13, Trade, 304.275, 90, B13, S03, 1
B13, Trade, 311.625, 100, S08, B13, 1
B13, Trade, 320.625, 104, B13, S10, 1
B13, Trade, 326.000, 97, B13, S03, 1
B13, Trade, 332.675, 101, B13, S03, 1
B13, Trade, 336.925, 98, B13, S00, 1
B13, Trade, 338.625, 97, B13, S03, 1
B13, Trade, 348.025, 98, S08, B13, 1
B13, Trade, 351.425, 98, B13, S06, 1
B13, Trade, 358.700, 99, B13, S08, 1
B13, Trade, 364.800, 101, S00, B13, 1
B13, Trade, 366.450, 101, S07, B13, 1
B13, Trade, 372.725, 102, S10, B13, 1
B13, Trade, 376.400, 101, B13, S04, 1
B13, Trade, 384.750, 94, B13, S06, 1
B13, Trade, 388.800, 109, B13, S00, 1
B13, Trade, 393.750, 103, B13, S02, 1
B13, Trade, 397.875, 102, B13, S06, 1
B13, Trade, 401.125, 97, B13, S05, 1
B13, Trade, 405.050, 102, S07, B13, 1
B13, Trade, 421.850, 104, B13, S10, 1
B13, Trade, 427.425, 102, S08, B13, 1
B13, Trade, 431.275, 97, B13, S03, 1
B13, Trade, 436.050, 86, B13, S06, 1
B13, Trade, 442.300, 110, B13, S10, 1
B13, Trade, 445.700, 101, B13, S06, 1
B13, Trade, 456.975, 104, B13, S10, 1
B13, Trade, 459.000, 103, B13, S07, 1
B13, Trade, 470.125, 103, B13, S02, 1
B13, Trade, 477.425, 97, B13, S03, 1
B13, Trade, 483.350, 93, B13, S07, 1
B13, Trade, 486.925, 102, S10, B13, 1
B13, Trade, 497.525, 101, S01, B13, 1
B13, Trade, 505.825, 104, B13, S10, 1
B13, Trade, 507.825, 99, B13, S01, 1
B13, Trade, 515.650, 99, S08, B13, 1
B13, Trade, 524.750, 101, S00, B13, 1
B13, Trade, 526.350, 102, B13, S10, 1
B13, Trade, 537.225, 98, B13, S03, 1
B13, Trade, 542.150, 102, S01, B13, 1
B13, Trade, 550.400, 102, S10, B13, 1
B13, Trade, 554.125, 103, B13, S10, 1
B13, Trade, 557.125, 103, B13, S01, 1
B13, Trade, 560.975, 101, B13, S04, 1
B13, Trade, 568.625, 98, B13, S04, 1
B13, Trade, 571.425, 94, B13, S06, 1
B13, Trade, 578.175, 99, B13, S07, 1
B13, Trade, 584.625, 99, B13, S07, 1
B13, Trade, 588.175, 100, B13, S01, 1
B13, Trade, 593.350, 107, S02, B13, 1
B13, Trade, 600.250, 103, B13, S08, 1
B13, Trade, 613.400, 99, S02, B13, 1
B13, Trade, 616.775, 98, B13, S06, 1
B13, Trade, 625.400, 98, B13, S03, 1
B13, Trade, 627.575, 98, S00, B13, 1
B13, Trade, 633.575, 107, B13, S04, 1
B13, Trade, 636.050, 98, B13, S03, 1
B13, Trade, 645.625, 103, S01, B13, 1
B13, Trade, 650.250, 102, B13, S10, 1
B13, Trade, 656.400, 100, B13, S06, 1
B13, Trade, 658.675, 98, S04, B13, 1
B13, Trade, 664.700, 102, S04, B13, 1
B13, Trade, 671.925, 101, B13, S01, 1
B13, Trade, 674.175, 100, B13, S03, 1
B13, Trade, 678.025, 99, S00, B13, 1
B13, Trade, 685.675, 98, B13, S06, 1
B13, Trade, 691.150, 103, B13, S10, 1
B13, Trade, 699.475, 105, B13, S00, 1
B13, Trade, 701.375, 103, B13, S10, 1
B13, Trade, 705.600, 106, S01, B13, 1
B13, Trade, 711.275, 104, B13, S06, 1
B13, Trade, 718.000, 99, B13, S00, 1
B13, Trade, 719.525, 97, B13, S06, 1
B13, Trade, 722.750, 98, S07, B13, 1
B13, Trade, 727.300, 99, B13, S02, 1
B13, Trade, 735.775, 96, B13, S06, 1
B13, Trade, 740.525, 102, B13, S05, 1
B13, Trade, 743.050, 100, B13, S08, 1
B13, Trade, 749.225, 97, B13, S06, 1
B13, Trade, 754.625, 99, B13, S03, 1
B13, Trade, 760.525, 93, B13, S05, 1
B13, Trade, 769.425, 98, S07, B13, 1
B13, Trade, 774.725, 110, S01, B13, 1
B13, Trade, 782.100, 100, B13, S05, 1
B13, Trade, 786.925, 100, S00, B13, 1
B13, Trade, 791.550, 99, B13, S01, 1
B13, Trade, 796.750, 97, S01, B13, 1
B13, Trade, 800.850, 97, B13, S00, 1
B13, Trade, 805.950, 97, B13, S00, 1
B13, Trade, 810.675, 102, B13, S06, 1
B13, Trade, 817.200, 98, S04, B13, 1
B13, Trade, 825.850, 106, B13, S10, 1
B13, Trade, 831.000, 97, B13, S06, 1
B13, Trade, 837.325, 104, B13, S10, 1
B13, Trade, 840.175, 102, S08, B13, 1
B13, Trade, 845.225, 102, S10, B13, 1
B13, Trade, 849.350, 102, S10, B13, 1
B13, Trade, 857.475, 101, S04, B13, 1
B13, Trade, 862.325, 97, S00, B13, 1
B14, 100
B14, Trade, 34.075, 102, S10, B14, 1
B14, Trade, 54.600, 100, S07, B14, 1
B14, Trade, 61.825, 106, S00, B14, 1
B14, Trade, 75.375, 99, S07, B14, 1
B14, Trade, 81.100, 101, S01, B14, 1
B14, Trade, 84.700, 101, S07, B14, 1
B14, Trade, 102.425, 102, S10, B14, 1
B14, Trade, 107.225, 102, S10, B14, 1
B14, Trade, 115.650, 102, B14, S07, 1
B14, Trade, 119.625, 104, S00, B14, 1
B14, Trade, 131.225, 107, S11, B14, 1
B14, Trade, 158.300, 100, S00, B14, 1
B14, Trade, 170.475, 89, S04, B14, 1
B14, Trade, 172.200, 89, S00, B14, 1
B14, Trade, 178.425, 99, S04, B14, 1
B14, Trade, 194.700, 114, S04, B14, 1
B14, Trade, 203.850, 101, B14, S05, 1
B14, Trade, 208.850, 99, S02, B14, 1
B14, Trade, 216.000, 113, S12, B14, 1
B14, Trade, 229.525, 100, S01, B14, 1
B14, Trade, 231.075, 102, S08, B14, 1
B14, Trade, 236.800, 102, S10, B14, 1
B14, Trade, 239.525, 104, S00, B14, 1
B14, Trade, 244.825, 98, S08, B14, 1
B14, Trade, 267.125, 101, S01, B14, 1
B14, Trade, 277.175, 107, B14, S00, 1
B14, Trade, 279.250, 109, S02, B14, 1
B14, Trade, 297.050, 99, S04, B14, 1
B14, Trade, 301.525, 90, S00, B14, 1
B14, Trade, 312.900, 98, S04, B14, 1
B14, Trade, 324.500, 102, S10, B14, 1
B14, Trade, 330.450, 108, B14, S09, 1
B14, Trade, 334.250, 98, S01, B14, 1
B14, Trade, 343.050, 99, S04, B14, 1
B14, Trade, 350.475, 98, S00, B14, 1
B14, Trade, 359.100, 102, S10, B14, 1
B14, Trade, 368.050, 100, S02, B14, 1
B14, Trade, 378.675, 100, S00, B14, 1
B14, Trade, 382.200, 92, S01, B14, 1
B14, Trade, 385.975, 102, S04, B14, 1
B14, Trade, 388.325, 113, S12, B14, 1
B14, Trade, 398.150, 106, S00, B14, 1
B14, Trade, 400.625, 102, B14, S09, 1
B14, Trade, 405.825, 102, S10, B14, 1
B14, Trade, 415.475, 112, S01, B14, 1
B14, Trade, 418.175, 106, S08, B14, 1
B14, Trade, 421.500, 104, S07, B14, 1
B14, Trade, 427.700, 104, S00, B14, 1
B14, Trade, 435.275, 92, S08, B14, 1
B14, Trade, 450.825, 102, S00, B14, 1
B14, Trade, 456.200, 105, S00, B14, 1
B14, Trade, 461.800, 104, S04, B14, 1
B14, Trade, 470.975, 105, S04, B14, 1
B14, Trade, 472.600, 94, S04, B14, 1
B14, Trade, 480.250, 95, S07, B14, 1
B14, Trade, 482.125, 88, S04, B14, 1
B14, Trade, 493.625, 107, S11, B14, 1
B14, Trade, 519.975, 98, S07, B14, 1
B14, Trade, 524.125, 101, S08, B14, 1
B14, Trade, 530.675, 101, S07, B14, 1
B14, Trade, 543.400, 103, S02, B14, 1
B14, Trade, 547.200, 113, S12, B14, 1
B14, Trade, 554.925, 105, S02, B14, 1
B14, Trade, 562.725, 101, S01, B14, 1
B14, Trade, 568.700, 99, S08, B14, 1
B14, Trade, 573.550, 119, B14, S13, 1
B14, Trade, 585.700, 101, S00, B14, 1
B14, Trade, 591.300, 108, S08, B14, 1
B14, Trade, 597.750, 100, S08, B14, 1
B14, Trade, 605.925, 100, B14, S04, 1
B14, Trade, 616.175, 99, S00, B14, 1
B14, Trade, 632.175, 112, S11, B14, 1
B14, Trade, 635.200, 110, S08, B14, 1
B14, Trade, 639.925, 106, S01, B14, 1
B14, Trade, 646.075, 104, S04, B14, 1
B14, Trade, 652.675, 100, S01, B14, 1
B14, Trade, 656.050, 102, S04, B14, 1
B14, Trade, 672.925, 102, S04, B14, 1
B14, Trade, 678.225, 99, S07, B14, 1
B14, Trade, 683.500, 102, S10, B14, 1
B14, Trade, 696.650, 102, S10, B14, 1
B14, Trade, 707.975, 103, S08, B14, 1
B14, Trade, 712.950, 100, S08, B14, 1
B14, Trade, 722.325, 98, S08, B14, 1
B14, Trade, 737.575, 107, S11, B14, 1
B14, Trade, 753.075, 96, S01, B14, 1
B14, Trade, 755.700, 104, S08, B14, 1
B14, Trade, 758.650, 97, S02, B14, 1
B14, Trade, 763.650, 99, B14, S04, 1
B14, Trade, 774.975, 101, B14, S06, 1
B14, Trade, 777.275, 99, S02, B14, 1
B14, Trade, 779.550, 113, S12, B14, 1
B14, Trade, 793.825, 107, S11, B14, 1
B14, Trade, 798.525, 99, S08, B14, 1
B14, Trade, 806.950, 98, S07, B14, 1
B14, Trade, 816.950, 98, S08, B14, 1
B14, Trade, 819.700, 117, B14, S07, 1
B14, Trade, 835.700, 106, B14, S06, 1
B14, Trade, 851.675, 100, B14, S06, 1
B14, Trade, 856.650, 102, S10, B14, 1
B15, 100
B15, Trade, 162.375, 103, B15, S06, 1
B15, Trade, 166.775, 100, S04, B15, 1
B15, Trade, 176.725, 95, B15, S07, 1
B15, Trade, 182.150, 98, B15, S08, 1
B15, Trade, 187.025, 98, B15, S00, 1
B15, Trade, 195.950, 109, B15, S07, 1
B15, Trade, 197.625, 107, B15, S06, 1
B15, Trade, 206.800, 99, B15, S06, 1
B15, Trade, 216.325, 102, B15, S03, 1
B15, Trade, 220.825, 100, B15, S06, 1
B15, Trade, 229.950, 100, B15, S03, 1
