B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B13, Trade, 417.880, 104, B13, S06, 1
B13, Trade, 423.140, 101, S01, B13, 1
B13, Trade, 425.400, 101, S05, B13, 1
B13, Trade, 429.340, 88, S09, B13, 1
B13, Trade, 437.620, 104, B13, S10, 1
B13, Trade, 438.740, 104, B13, S04, 1
B13, Trade, 446.760, 100, S11, B13, 1
B13, Trade, 456.880, 104, B13, S01, 1
B13, Trade, 461.820, 101, S05, B13, 1
B13, Trade, 465.880, 96, S03, B13, 1
B13, Trade, 472.180, 104, B13, S06, 1
B13, Trade, 480.260, 104, B13, S04, 1
B13, Trade, 483.400, 103, S03, B13, 1
B13, Trade, 487.320, 104, B13, S01, 1
B13, Trade, 492.080, 97, S07, B13, 1
B13, Trade, 496.980, 87, S09, B13, 1
B13, Trade, 502.840, 104, B13, S03, 1
B13, Trade, 507.300, 104, S00, B13, 1
B13, Trade, 515.880, 104, B13, S04, 1
B13, Trade, 518.580, 104, B13, S02, 1
B13, Trade, 522.460, 98, S01, B13, 1
B13, Trade, 526.840, 104, B13, S08, 1
B13, Trade, 533.340, 97, S03, B13, 1
B13, Trade, 536.500, 90, S00, B13, 1
B13, Trade, 544.640, 99, S03, B13, 1
B13, Trade, 548.780, 88, S01, B13, 1
B13, Trade, 549.880, 91, S10, B13, 1
B13, Trade, 558.140, 96, S01, B13, 1
B13, Trade, 564.060, 89, S03, B13, 1
B13, Trade, 567.180, 91, S09, B13, 1
B13, Trade, 571.220, 92, S04, B13, 1
B13, Trade, 576.100, 102, S00, B13, 1
B13, Trade, 583.940, 104, B13, S10, 1
B13, Trade, 589.020, 104, B13, S08, 1
B13, Trade, 593.280, 103, S03, B13, 1
B13, Trade, 600.040, 104, B13, S06, 1
B13, Trade, 602.300, 104, B13, S10, 1
B13, Trade, 605.420, 104, S01, B13, 1
B13, Trade, 613.920, 95, S04, B13, 1
B13, Trade, 615.540, 97, S11, B13, 1
B13, Trade, 625.900, 104, B13, S07, 1
B13, Trade, 634.780, 104, B13, S03, 1
B13, Trade, 640.380, 95, S05, B13, 1
B13, Trade, 644.380, 104, B13, S10, 1
B13, Trade, 650.580, 87, S09, B13, 1
B13, Trade, 654.660, 91, S10, B13, 1
B13, Trade, 657.040, 104, B13, S08, 1
B13, Trade, 661.720, 91, S10, B13, 1
B13, Trade, 665.340, 94, S09, B13, 1
B13, Trade, 676.400, 104, B13, S11, 1
B13, Trade, 679.780, 104, B13, S02, 1
B13, Trade, 685.520, 94, S03, B13, 1
B13, Trade, 690.780, 104, B13, S10, 1
B13, Trade, 692.860, 104, S03, B13, 1
B13, Trade, 696.520, 98, S11, B13, 1
B13, Trade, 705.360, 104, B13, S04, 1
B13, Trade, 707.340, 98, S09, B13, 1
B13, Trade, 710.760, 100, S09, B13, 1
B13, Trade, 716.460, 93, S03, B13, 1
B13, Trade, 722.500, 88, S03, B13, 1
B13, Trade, 729.040, 91, S10, B13, 1
B13, Trade, 734.280, 90, S05, B13, 1
B13, Trade, 736.920, 94, S09, B13, 1
B13, Trade, 742.060, 100, S11, B13, 1
B13, Trade, 751.180, 89, S00, B13, 1
B13, Trade, 754.940, 100, S01, B13, 1
B13, Trade, 758.520, 89, S01, B13, 1
B13, Trade, 763.040, 104, B13, S09, 1
B13, Trade, 769.660, 95, S05, B13, 1
B13, Trade, 773.760, 95, S04, B13, 1
B13, Trade, 776.440, 97, S04, B13, 1
B13, Trade, 785.660, 89, S09, B13, 1
B13, Trade, 787.920, 87, S09, B13, 1
B13, Trade, 797.060, 104, B13, S01, 1
B13, Trade, 799.000, 104, B13, S08, 1
B13, Trade, 801.220, 104, B13, S06, 1
B13, Trade, 807.760, 94, S01, B13, 1
B13, Trade, 813.660, 99, S00, B13, 1
B13, Trade, 816.620, 97, S11, B13, 1
B13, Trade, 827.100, 104, B13, S11, 1
B13, Trade, 833.320, 95, S11, B13, 1
B13, Trade, 839.600, 104, B13, S11, 1
B13, Trade, 845.180, 104, B13, S09, 1
B13, Trade, 850.200, 95, S09, B13, 1
B13, Trade, 856.780, 93, S09, B13, 1
B13, Trade, 862.660, 103, S09, B13, 1
B14, 100
B14, Trade, 271.220, 102, B14, S06, 1
B14, Trade, 277.260, 91, B14, S02, 1
B14, Trade, 280.480, 100, B14, S01, 1
B14, Trade, 291.680, 94, B14, S00, 1
B14, Trade, 299.100, 84, B14, S02, 1
B14, Trade, 309.620, 100, B14, S10, 1
B14, Trade, 310.620, 102, B14, S03, 1
B14, Trade, 315.180, 88, B14, S06, 1
B14, Trade, 322.820, 93, B14, S06, 1
B14, Trade, 332.600, 95, B14, S08, 1
B14, Trade, 343.600, 89, B14, S02, 1
B14, Trade, 344.900, 93, B14, S10, 1
B14, Trade, 351.260, 85, B14, S02, 1
B14, Trade, 354.520, 89, B14, S02, 1
B14, Trade, 366.940, 95, S01, B14, 1
B14, Trade, 373.200, 105, B14, S02, 1
B14, Trade, 375.900, 97, S11, B14, 1
B14, Trade, 378.680, 89, B14, S08, 1
B14, Trade, 386.340, 87, B14, S05, 1
B14, Trade, 391.300, 89, B14, S05, 1
B14, Trade, 398.660, 90, B14, S01, 1
B14, Trade, 400.300, 90, B14, S06, 1
B14, Trade, 405.600, 97, B14, S06, 1
B14, Trade, 413.660, 97, B14, S10, 1
B14, Trade, 415.640, 100, B14, S08, 1
B14, Trade, 424.320, 100, B14, S02, 1
B14, Trade, 432.620, 99, B14, S00, 1
B14, Trade, 436.320, 105, B14, S08, 1
B14, Trade, 445.340, 97, B14, S08, 1
B14, Trade, 448.680, 96, B14, S01, 1
B14, Trade, 453.060, 98, B14, S10, 1
B14, Trade, 457.700, 102, B14, S00, 1
B14, Trade, 459.980, 97, B14, S02, 1
B14, Trade, 465.780, 89, B14, S02, 1
B14, Trade, 475.980, 95, B14, S03, 1
B14, Trade, 477.040, 96, S04, B14, 1
B14, Trade, 483.900, 102, B14, S06, 1
B14, Trade, 486.920, 105, B14, S08, 1
B14, Trade, 491.660, 88, B14, S06, 1
B14, Trade, 497.780, 89, B14, S06, 1
B14, Trade, 506.020, 99, B14, S08, 1
