B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B14, Trade, 587.800, 98, B14, S04, 1
B14, Trade, 593.040, 107, B14, S03, 1
B14, Trade, 599.560, 99, B14, S04, 1
B14, Trade, 603.760, 106, B14, S06, 1
B14, Trade, 608.720, 105, S02, B14, 1
B14, Trade, 615.020, 105, B14, S05, 1
B14, Trade, 616.840, 100, B14, S06, 1
B14, Trade, 621.220, 107, S13, B14, 1
B14, Trade, 630.080, 100, S12, B14, 1
B14, Trade, 645.920, 104, S10, B14, 1
B14, Trade, 660.720, 106, B14, S07, 1
B14, Trade, 666.220, 107, B14, S00, 1
B14, Trade, 673.240, 100, B14, S04, 1
B14, Trade, 678.960, 108, B14, S00, 1
B14, Trade, 684.880, 104, B14, S04, 1
B14, Trade, 689.340, 103, B14, S02, 1
B14, Trade, 697.980, 102, B14, S03, 1
B14, Trade, 699.720, 103, S07, B14, 1
B14, Trade, 705.460, 95, B14, S04, 1
B14, Trade, 707.560, 105, S08, B14, 1
B14, Trade, 712.760, 95, B14, S05, 1
B14, Trade, 719.500, 100, B14, S12, 1
B14, Trade, 726.880, 106, B14, S04, 1
B14, Trade, 729.840, 93, B14, S06, 1
B14, Trade, 734.860, 92, B14, S04, 1
B14, Trade, 745.340, 106, B14, S00, 1
B14, Trade, 750.980, 97, B14, S06, 1
B14, Trade, 754.280, 101, B14, S04, 1
B14, Trade, 760.200, 105, B14, S12, 1
B14, Trade, 763.000, 105, S07, B14, 1
B14, Trade, 768.580, 105, B14, S04, 1
B14, Trade, 775.340, 104, B14, S08, 1
B14, Trade, 778.540, 95, B14, S06, 1
B14, Trade, 786.100, 98, B14, S11, 1
B14, Trade, 797.300, 105, B14, S00, 1
B14, Trade, 800.760, 107, B14, S04, 1
B14, Trade, 805.760, 92, B14, S00, 1
B14, Trade, 807.240, 99, B14, S06, 1
B14, Trade, 814.480, 95, B14, S06, 1
B14, Trade, 820.880, 99, B14, S04, 1
B14, Trade, 830.460, 108, B14, S12, 1
B14, Trade, 835.460, 104, B14, S05, 1
B14, Trade, 843.580, 101, B14, S00, 1
B14, Trade, 845.100, 103, S11, B14, 1
B14, Trade, 850.840, 100, B14, S00, 1
B14, Trade, 853.900, 101, B14, S05, 1
B15, 100
B15, Trade, 245.900, 107, B15, S00, 1
B15, Trade, 247.460, 100, B15, S09, 1
B15, Trade, 253.440, 97, B15, S00, 1
B15, Trade, 259.140, 104, B15, S00, 1
B15, Trade, 263.960, 94, B15, S08, 1
B15, Trade, 270.640, 101, B15, S04, 1
B15, Trade, 282.700, 103, B15, S04, 1
B15, Trade, 284.660, 103, B15, S01, 1
B15, Trade, 292.640, 102, B15, S03, 1
B15, Trade, 297.320, 111, B15, S08, 1
B15, Trade, 303.140, 100, S12, B15, 1
B15, Trade, 307.240, 111, B15, S05, 1
B15, Trade, 308.040, 107, S13, B15, 1
B15, Trade, 314.420, 96, B15, S04, 1
B15, Trade, 323.100, 108, B15, S01, 1
B15, Trade, 325.560, 108, B15, S04, 1
B15, Trade, 328.960, 107, S13, B15, 1
B15, Trade, 337.220, 107, B15, S07, 1
B15, Trade, 343.660, 110, B15, S04, 1
B15, Trade, 347.160, 109, B15, S00, 1
B15, Trade, 353.720, 90, B15, S06, 1
B15, Trade, 358.820, 98, B15, S03, 1
B15, Trade, 363.420, 101, B15, S12, 1
B15, Trade, 366.340, 98, B15, S02, 1
B15, Trade, 372.780, 106, B15, S06, 1
B15, Trade, 379.160, 109, B15, S06, 1
B15, Trade, 383.060, 108, B15, S01, 1
B15, Trade, 389.340, 102, B15, S12, 1
B15, Trade, 391.500, 98, B15, S05, 1
B15, Trade, 402.800, 103, B15, S12, 1
B15, Trade, 410.340, 111, B15, S01, 1
B15, Trade, 413.200, 106, B15, S03, 1
B15, Trade, 421.640, 103, B15, S11, 1
B15, Trade, 428.940, 100, S12, B15, 1
B15, Trade, 433.020, 105, S07, B15, 1
B15, Trade, 438.800, 101, B15, S12, 1
B15, Trade, 444.840, 99, B15, S06, 1
B15, Trade, 452.340, 110, B15, S06, 1
B15, Trade, 459.180, 110, B15, S05, 1
B15, Trade, 467.960, 97, B15, S11, 1
B15, Trade, 476.640, 103, B15, S06, 1
B15, Trade, 482.080, 110, B15, S06, 1
B15, Trade, 485.140, 108, B15, S12, 1
B15, Trade, 498.680, 105, B15, S04, 1
B15, Trade, 504.540, 94, B15, S01, 1
B15, Trade, 514.500, 100, B15, S08, 1
B15, Trade, 524.200, 110, B15, S13, 1
B15, Trade, 536.020, 102, B15, S01, 1
B15, Trade, 549.140, 101, B15, S05, 1
B15, Trade, 553.140, 98, B15, S00, 1
B15, Trade, 557.060, 104, B15, S07, 1
B15, Trade, 563.920, 104, B15, S01, 1
B15, Trade, 569.980, 103, B15, S06, 1
B15, Trade, 570.560, 105, B15, S08, 1
B15, Trade, 581.460, 108, B15, S05, 1
B15, Trade, 584.000, 108, B15, S03, 1
B15, Trade, 587.620, 107, B15, S00, 1
B15, Trade, 598.940, 100, B15, S08, 1
B15, Trade, 602.460, 108, B15, S02, 1
B15, Trade, 608.200, 106, B15, S05, 1
B15, Trade, 613.280, 97, B15, S01, 1
B15, Trade, 619.500, 99, B15, S05, 1
B15, Trade, 625.460, 105, B15, S09, 1
B15, Trade, 632.400, 104, B15, S00, 1
B15, Trade, 636.840, 109, B15, S07, 1
B15, Trade, 643.420, 102, B15, S03, 1
B15, Trade, 648.320, 104, B15, S08, 1
B15, Trade, 652.980, 94, B15, S00, 1
B15, Trade, 660.260, 105, B15, S05, 1
B15, Trade, 670.260, 103, B15, S08, 1
B15, Trade, 678.700, 109, B15, S01, 1
B15, Trade, 686.960, 105, B15, S07, 1
B15, Trade, 691.300, 103, B15, S05, 1
B15, Trade, 699.800, 101, B15, S05, 1
B15, Trade, 709.260, 104, B15, S05, 1
B15, Trade, 716.500, 103, B15, S05, 1
B15, Trade, 722.320, 102, B15, S07, 1
B15, Trade, 730.960, 98, B15, S00, 1
B15, Trade, 734.460, 99, B15, S05, 1
B15, Trade, 738.800, 103, B15, S01, 1
B15, Trade, 744.300, 110, B15, S13, 1
B15, Trade, 757.080, 100, B15, S00, 1
B15, Trade, 759.800, 106, B15, S04, 1
B15, Trade, 771.640, 105, B15, S09, 1
B15, Trade, 774.300, 104, B15, S04, 1
B15, Trade, 781.000, 105, B15, S03, 1
B15, Trade, 785.220, 103, B15, S04, 1
B15, Trade, 792.300, 111, B15, S10, 1
B15, Trade, 798.280, 111, B15, S02, 1
B15, Trade, 806.980, 100, B15, S11, 1
B15, Trade, 816.420, 96, B15, S01, 1
B15, Trade, 825.400, 111, B15, S11, 1
B15, Trade, 829.480, 109, B15, S04, 1
B15, Trade, 835.920, 103, B15, S12, 1
B15, Trade, 841.320, 105, B15, S09, 1
B15, Trade, 846.460, 100, B15, S06, 1
B15, Trade, 851.580, 107, B15, S09, 1
B15, Trade, 857.660, 105, B15, S03, 1
B15, Trade, 859.620, 102, S07, B15, 1
B15, Trade, 863.040, 111, B15, S04, 1
B16, 100
B16, Trade, 352.800, 104, S11, B16, 1
B16, Trade, 353.860, 107, S13, B16, 1
B16, Trade, 361.320, 107, S13, B16, 1
B16, Trade, 366.960, 100, S07, B16, 1
B16, Trade, 373.480, 112, S15, B16, 1
B16, Trade, 374.240, 116, B16, S13, 1
B16, Trade, 377.900, 100, S12, B16, 1
B16, Trade, 387.000, 106, S07, B16, 1
B16, Trade, 390.820, 101, S10, B16, 1
B16, Trade, 396.520, 100, S12, B16, 1
B16, Trade, 402.780, 112, S15, B16, 1
B16, Trade, 407.300, 116, B16, S05, 1
B16, Trade, 411.000, 116, B16, S12, 1
B16, Trade, 416.760, 100, S12, B16, 1
B16, Trade, 419.060, 105, S02, B16, 1
B16, Trade, 426.420, 99, S02, B16, 1
B16, Trade, 431.600, 107, S13, B16, 1
B16, Trade, 434.840, 107, S10, B16, 1
B16, Trade, 438.520, 104, S08, B16, 1
B16, Trade, 444.700, 105, S07, B16, 1
B16, Trade, 450.960, 116, B16, S13, 1
B16, Trade, 455.940, 110, S07, B16, 1
B16, Trade, 460.800, 110, S11, B16, 1
B16, Trade, 469.020, 99, S02, B16, 1
B16, Trade, 475.520, 111, S02, B16, 1
B16, Trade, 480.800, 116, B16, S13, 1
B16, Trade, 485.680, 111, S07, B16, 1
B16, Trade, 488.860, 95, S11, B16, 1
B16, Trade, 496.900, 102, S02, B16, 1
B16, Trade, 499.200, 113, S15, B16, 1
B16, Trade, 506.200, 99, S02, B16, 1
B16, Trade, 512.120, 105, S11, B16, 1
B16, Trade, 517.820, 116, B16, S03, 1
B16, Trade, 523.940, 113, S15, B16, 1
B16, Trade, 532.960, 106, S08, B16, 1
B16, Trade, 537.880, 107, S13, B16, 1
B16, Trade, 543.040, 101, S11, B16, 1
B16, Trade, 546.360, 100, S07, B16, 1
B16, Trade, 551.340, 100, S12, B16, 1
B16, Trade, 557.240, 111, S11, B16, 1
B16, Trade, 563.760, 106, S07, B16, 1
B16, Trade, 565.340, 105, S02, B16, 1
B16, Trade, 571.620, 106, S07, B16, 1
B16, Trade, 578.740, 104, S02, B16, 1
B16, Trade, 585.380, 116, B16, S13, 1
B16, Trade, 587.460, 109, S11, B16, 1
B16, Trade, 591.600, 107, S13, B16, 1
B16, Trade, 597.500, 104, S11, B16, 1
B16, Trade, 601.120, 107, S13, B16, 1
B16, Trade, 604.460, 108, S07, B16, 1
B16, Trade, 612.900, 116, B16, S12, 1
B16, Trade, 617.780, 102, S02, B16, 1
B16, Trade, 620.440, 98, S10, B16, 1
B16, Trade, 625.240, 108, S02, B16, 1
B16, Trade, 633.080, 111, S02, B16, 1
B16, Trade, 636.600, 116, B16, S08, 1
B16, Trade, 642.640, 100, S07, B16, 1
B16, Trade, 646.660, 106, S08, B16, 1
B16, Trade, 653.900, 97, S08, B16, 1
B16, Trade, 656.960, 98, S10, B16, 1
B16, Trade, 664.760, 116, B16, S07, 1
B16, Trade, 666.160, 110, S07, B16, 1
B16, Trade, 674.060, 107, S13, B16, 1
B16, Trade, 681.240, 103, S10, B16, 1
B16, Trade, 683.820, 101, S02, B16, 1
B16, Trade, 686.140, 112, S15, B16, 1
B16, Trade, 695.220, 105, S11, B16, 1
B16, Trade, 696.900, 106, S02, B16, 1
B16, Trade, 703.040, 107, S02, B16, 1
B16, Trade, 709.280, 108, S13, B16, 1
B16, Trade, 715.980, 104, S10, B16, 1
B16, Trade, 720.020, 104, S02, B16, 1
B16, Trade, 722.940, 107, S13, B16, 1
B16, Trade, 728.040, 106, S02, B16, 1
B16, Trade, 732.980, 112, S15, B16, 1
B16, Trade, 738.920, 106, S02, B16, 1
B16, Trade, 745.140, 111, S08, B16, 1
B16, Trade, 748.020, 105, S08, B16, 1
B16, Trade, 756.580, 107, S13, B16, 1
B16, Trade, 760.580, 107, S13, B16, 1
B16, Trade, 763.980, 114, S15, B16, 1
B16, Trade, 769.180, 112, S15, B16, 1
B16, Trade, 775.400, 106, S02, B16, 1
B16, Trade, 780.720, 106, S13, B16, 1
B16, Trade, 786.280, 99, S10, B16, 1
B16, Trade, 789.860, 116, B16, S11, 1
B16, Trade, 795.560, 116, B16, S12, 1
B16, Trade, 797.780, 116, B16, S01, 1
B16, Trade, 806.120, 102, S08, B16, 1
B16, Trade, 810.240, 107, S13, B16, 1
B16, Trade, 816.780, 100, S12, B16, 1
B16, Trade, 821.320, 116, B16, S12, 1
B16, Trade, 823.100, 111, S08, B16, 1
B16, Trade, 828.140, 107, S13, B16, 1
B16, Trade, 835.100, 105, S02, B16, 1
B16, Trade, 838.720, 106, S10, B16, 1
B16, Trade, 841.680, 107, S08, B16, 1
B16, Trade, 848.300, 98, S08, B16, 1
B16, Trade, 857.300, 107, S11, B16, 1
B16, Trade, 861.640, 111, S02, B16, 1
B17, 100
B17, Trade, 283.200, 104, B17, S02, 1
B17, Trade, 292.180, 103, S07, B17, 1
B17, Trade, 294.260, 97, B17, S04, 1
B17, Trade, 304.600, 116, B17, S07, 1
B17, Trade, 309.680, 100, B17, S03, 1
B17, Trade, 319.340, 96, B17, S08, 1
B17, Trade, 324.800, 117, B17, S03, 1
B17, Trade, 337.180, 107, B17, S05, 1
B17, Trade, 339.080, 95, B17, S05, 1
B17, Trade, 347.720, 93, B17, S04, 1
B17, Trade, 358.000, 98, S11, B17, 1
B17, Trade, 369.300, 103, B17, S05, 1
B17, Trade, 372.660, 107, B17, S07, 1
B17, Trade, 381.540, 109, B17, S04, 1
B17, Trade, 388.500, 103, B17, S00, 1
B17, Trade, 391.700, 95, B17, S04, 1
B17, Trade, 398.500, 105, B17, S00, 1
B17, Trade, 402.520, 105, B17, S05, 1
B17, Trade, 404.440, 110, B17, S06, 1
B17, Trade, 410.720, 109, B17, S09, 1
B17, Trade, 418.660, 104, B17, S05, 1
B17, Trade, 426.940, 99, B17, S08, 1
